,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-04-09,177.75,178.47,177.28,177.73,177.73,1813889,0.0,1.0
1,2019-04-08,177.67,179.075,177.37,178.91,178.91,1373468,0.0,1.0
2,2019-04-05,177.44,178.42,177.04,178.15,178.15,1861494,0.0,1.0
3,2019-04-04,177.19,177.44,175.86,177.16,177.16,2270157,0.0,1.0
4,2019-04-03,175.9,177.39,175.48,177.19,177.19,2481837,0.0,1.0
5,2019-04-02,175.83,176.55,174.555,175.37,175.37,1923551,0.0,1.0
6,2019-04-01,175.5,176.52,174.785,176.32,176.32,2977921,0.0,1.0
7,2019-03-29,175.3,176.97,174.95,176.02,176.02,2773014,0.0,1.0
8,2019-03-28,170.92,177.49,170.48,175.12,175.12,5398714,0.0,1.0
9,2019-03-27,167.0,167.8,165.37,166.47,166.47,2376173,0.0,1.0
10,2019-03-26,166.48,167.6,165.94,166.94,166.94,1777791,0.0,1.0
11,2019-03-25,164.98,165.47,164.0,165.08,165.08,1769893,0.0,1.0
12,2019-03-22,167.8,168.42,165.11,165.24,165.24,1602613,0.0,1.0
13,2019-03-21,165.18,168.92,165.18,168.24,168.24,1666372,0.0,1.0
14,2019-03-20,166.4,167.26,164.81,166.27,166.27,2128784,0.0,1.0
15,2019-03-19,167.11,167.6299,165.53,166.2,166.2,1949569,0.0,1.0
16,2019-03-18,166.75,167.44,165.14,166.43,166.43,1592110,0.0,1.0
17,2019-03-15,165.0,167.04,164.9,166.39,166.39,3737186,0.0,1.0
18,2019-03-14,164.46,164.93,164.11,164.82,164.82,2270066,0.0,1.0
19,2019-03-13,164.97,165.2842,163.66,164.11,164.11,2095157,0.0,1.0
20,2019-03-12,164.49,165.82,163.72,163.99,163.99,2351166,0.0,1.0
21,2019-03-11,162.48,164.07,161.9901,163.94,163.94,1240427,0.0,1.0
22,2019-03-08,161.0,161.81,160.5,161.69,161.69,1458083,0.0,1.0
23,2019-03-07,162.21,162.45,160.78,161.85,161.85,1654983,0.0,1.0
24,2019-03-06,164.06,164.06,162.34,162.39,162.39,1733268,0.0,1.0
25,2019-03-05,162.97,163.91,162.52,163.67,163.67,1564943,0.0,1.0
26,2019-03-04,164.75,164.92,160.91,162.82,162.82,1896316,0.0,1.0
27,2019-03-01,163.0,164.9,162.6791,164.2,164.2,2227605,0.0,1.0
28,2019-02-28,160.9,162.0,160.39,161.38,161.38,2017270,0.0,1.0
29,2019-02-27,160.85,161.26,160.13,160.63,160.63,1536250,0.0,1.0
30,2019-02-26,161.62,162.5,161.035,161.34,161.34,1526192,0.0,1.0
31,2019-02-25,162.06,162.41,161.53,161.67,161.67,1368003,0.0,1.0
32,2019-02-22,160.18,161.83,159.9601,161.5,161.5,1679308,0.0,1.0
33,2019-02-21,159.58,160.05,158.88,159.53,159.53,1835727,0.0,1.0
34,2019-02-20,159.78,160.12,158.4319,159.71,159.71,1942259,0.0,1.0
35,2019-02-19,158.61,160.1,158.19,159.48,159.48,1656522,0.0,1.0
36,2019-02-15,159.08,159.33,158.23,159.23,159.23,2395244,0.0,1.0
37,2019-02-14,157.72,158.8375,156.74,157.85,157.85,1552961,0.0,1.0
38,2019-02-13,157.0,158.54,156.86,158.03,158.03,1952140,0.0,1.0
39,2019-02-12,156.03,157.03,155.64,156.63,156.63,1861254,0.0,1.0
40,2019-02-11,156.0,157.3,155.02,155.32,155.32,1410528,0.0,1.0
41,2019-02-08,154.15,155.95,154.02,155.59,155.59,2300033,0.0,1.0
42,2019-02-07,155.85,156.0,154.19,155.18,155.18,2109947,0.0,1.0
43,2019-02-06,157.15,158.0278,156.89,157.16,157.16,1375103,0.0,1.0
44,2019-02-05,156.75,157.41,156.55,157.32,157.32,1985677,0.0,1.0
45,2019-02-04,155.0,156.64,154.23,156.55,156.55,1666079,0.0,1.0
46,2019-02-01,154.25,155.22,153.66,154.74,154.74,1957430,0.0,1.0
47,2019-01-31,153.5,154.9025,153.12,153.55,153.55,2115623,0.0,1.0
48,2019-01-30,152.52,154.5,151.835,154.09,154.09,1679363,0.0,1.0
49,2019-01-29,152.02,152.41,151.11,152.02,152.02,1963230,0.0,1.0
50,2019-01-28,150.72,152.24,150.2,152.24,152.24,2046501,0.0,1.0
51,2019-01-25,151.58,152.22,150.96,151.85,151.85,1742762,0.0,1.0
52,2019-01-24,148.81,150.31,148.67,150.15,150.15,1947456,0.0,1.0
53,2019-01-23,149.86,150.93,147.44,148.42,148.42,1989430,0.0,1.0
