,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-01-31,56.43,56.99,55.3699,55.59,55.59,17943,0.0,1.0
1,2019-01-30,55.68,56.55,55.49,55.95,55.95,25179,0.0,1.0
2,2019-01-29,54.54,55.5,54.54,54.94,54.94,16616,0.0,1.0
3,2019-01-28,53.62,53.789,52.9,53.72,53.72,56893,0.0,1.0
4,2019-01-25,54.98,55.45,54.8,55.17,55.17,13538,0.0,1.0
5,2019-01-24,54.5,55.02,54.26,54.8082,54.8082,6226,0.0,1.0
6,2019-01-23,54.78,54.87,53.6,54.1916,54.1916,20446,0.0,1.0
7,2019-01-22,54.43,54.65,53.675,54.65,54.65,40803,0.0,1.0
8,2019-01-18,54.56,55.76,54.34,55.51,55.51,60732,0.0,1.0
9,2019-01-17,53.39,54.3801,52.97,54.24,54.24,25141,0.0,1.0
10,2019-01-16,53.75,54.32,53.7097,54.21,54.21,24481,0.0,1.0
11,2019-01-15,53.25,54.05,53.25,54.05,54.05,12575,0.0,1.0
12,2019-01-14,53.06,53.5581,52.38,52.38,52.38,23899,0.0,1.0
13,2019-01-11,53.85,53.89,53.261,53.49,53.49,78842,0.0,1.0
14,2019-01-10,53.47,54.58,53.37,54.48,54.48,27365,0.0,1.0
15,2019-01-09,52.98,54.38,52.58,54.09,54.09,59064,0.0,1.0
16,2019-01-08,51.14,51.5359,50.88,51.4738,51.4738,9503,0.0,1.0
17,2019-01-07,50.34,51.43,50.2,50.4379,50.4379,26528,0.0,1.0
18,2019-01-04,49.9,50.96,49.35,49.9705,49.9705,30011,0.0,1.0
19,2019-01-03,49.0,49.02,47.4601,48.8024,48.8024,29314,0.0,1.0
20,2019-01-02,46.19,49.43,45.99,48.2762,48.2762,25296,0.0,1.0
21,2018-12-31,47.22,47.53,46.5,47.4571,47.4571,30008,0.0,1.0
22,2018-12-28,46.8,47.07,46.03,46.69,46.69,52214,0.0,1.0
23,2018-12-27,47.01,47.36,46.11,47.15,47.15,48329,0.0,1.0
24,2018-12-26,45.28,48.63,45.28,48.63,48.63,100999,0.0,1.0
25,2018-12-24,47.0,47.0,45.5747,45.5747,45.5747,21781,0.0,1.0
26,2018-12-21,47.28,47.9299,46.86,46.999,46.999,77792,0.0,1.0
27,2018-12-20,48.07,48.3559,47.4075,47.7102,47.7102,33811,0.0,1.0
28,2018-12-19,48.85,49.8899,48.74,49.1094,49.1094,30155,0.0,1.0
29,2018-12-18,51.11,51.11,47.8463,48.08,48.08,44528,0.0,1.0
30,2018-12-17,53.37,53.37,51.14,51.27,51.27,24789,0.0,1.0
