,timestamp,open,high,low,close,volume
0,2018-10-16,7.79,8.02,7.715,8.01,1131512
1,2018-10-15,7.47,7.7473,7.4,7.72,1794940
2,2018-10-12,7.9,7.99,7.41,7.52,3163478
3,2018-10-11,8.06,8.18,7.73,7.77,3517028
4,2018-10-10,8.6,8.64,8.13,8.14,2213744
5,2018-10-09,8.66,8.765,8.57,8.63,943702
6,2018-10-08,8.64,8.72,8.55,8.64,1512413
7,2018-10-05,8.78,8.87,8.62,8.69,1243438
8,2018-10-04,8.84,8.87,8.69,8.79,1194326
9,2018-10-03,8.84,8.85,8.59,8.81,1962120
10,2018-10-02,9.13,9.19,8.63,8.74,4000792
11,2018-10-01,9.46,9.54,9.04,9.2,2084212
12,2018-09-28,9.4,9.57,9.3,9.39,2296296
13,2018-09-27,9.36,9.58,9.29,9.39,2025298
14,2018-09-26,9.21,9.45,9.1999,9.38,1443944
15,2018-09-25,9.3,9.375,9.175,9.23,1323200
16,2018-09-24,9.35,9.47,9.21,9.26,2853049
17,2018-09-21,9.79,9.84,9.32,9.37,10142754
18,2018-09-20,8.44,9.07,8.32,8.92,9326749
19,2018-09-19,8.58,8.64,8.35,8.37,1707181
20,2018-09-18,8.39,8.9,8.39,8.59,6629853
21,2018-09-17,8.52,8.599,8.37,8.4,1658310
22,2018-09-14,8.55,8.65,8.54,8.56,1302037
23,2018-09-13,8.62,8.705,8.56,8.59,1068224
24,2018-09-12,8.55,8.64,8.44,8.61,1540952
25,2018-09-11,8.58,8.69,8.48,8.52,2682542
26,2018-09-10,8.85,8.89,8.585,8.64,2081465
27,2018-09-07,8.93,9.005,8.76,8.8,1034293
28,2018-09-06,8.78,9.11,8.66,8.96,3998746
29,2018-09-05,8.83,8.92,8.295,8.77,8316081
30,2018-09-04,8.96,9.25,8.83,9.19,1721672
31,2018-08-31,8.96,9.04,8.86,8.95,999543
32,2018-08-30,9.25,9.32,8.84,8.93,3088130
33,2018-08-29,9.27,9.34,8.965,9.25,3119927
34,2018-08-28,9.05,9.595,9.0,9.21,4667882
35,2018-08-27,9.05,9.06,8.95,9.04,1856135
36,2018-08-24,9.02,9.13,8.95,9.01,1129170
37,2018-08-23,9.08,9.13,8.9,8.99,3268332
38,2018-08-22,9.14,9.15,8.81,9.08,2491277
39,2018-08-21,8.76,9.22,8.71,9.14,3549052
40,2018-08-20,8.75,8.82,8.63,8.69,1857748
41,2018-08-17,8.73,8.77,8.6,8.71,1376797
42,2018-08-16,8.79,8.845,8.545,8.72,2377149
43,2018-08-15,8.87,8.9,8.71,8.73,1996555
44,2018-08-14,9.2,9.21,8.86,8.9,3111342
45,2018-08-13,8.89,9.23,8.89,9.15,2992987
46,2018-08-10,8.71,9.15,8.55,8.9,4928879
47,2018-08-09,8.93,9.33,8.41,8.47,6841959
48,2018-08-08,9.21,9.515,9.14,9.48,5827839
49,2018-08-07,9.08,9.25,9.03,9.15,2852719
50,2018-08-06,8.92,9.04,8.85,8.98,1465114
51,2018-08-03,8.64,8.945,8.64,8.91,1804505
52,2018-08-02,8.88,8.91,8.56,8.62,2390251
53,2018-08-01,9.03,9.15,8.86,8.95,1071516
54,2018-07-31,8.8,9.18,8.78,9.01,3398845
55,2018-07-30,9.0,9.04,8.77,8.78,1711625
56,2018-07-27,9.18,9.19,8.87,9.01,2238197
57,2018-07-26,9.2,9.32,9.0,9.1,1383901
58,2018-07-25,9.26,9.34,8.975,9.23,1344302
59,2018-07-24,9.41,9.53,9.22,9.25,1752372
60,2018-07-23,9.4,9.47,9.235,9.36,1682307
61,2018-07-20,9.38,9.5,9.31,9.35,1512466
62,2018-07-19,9.45,9.465,9.22,9.36,2050856
63,2018-07-18,9.41,9.6,9.37,9.45,2028605
64,2018-07-17,9.18,9.425,9.15,9.39,2589178
65,2018-07-16,9.02,9.19,9.0,9.18,1453196
66,2018-07-13,8.91,9.21,8.83,8.96,2935796
67,2018-07-12,8.67,9.04,8.505,8.92,2570878
68,2018-07-11,8.56,8.77,8.44,8.58,1597854
69,2018-07-10,8.59,8.67,8.34,8.62,2203078
70,2018-07-09,8.23,8.62,8.22,8.54,1872162
71,2018-07-06,8.04,8.245,8.01,8.18,794097
72,2018-07-05,8.14,8.14,7.8,8.08,1888821
73,2018-07-03,8.18,8.29,8.04,8.05,1478858
74,2018-07-02,8.55,8.65,8.03,8.15,2936356
75,2018-06-29,8.51,8.92,8.42,8.65,3132152
76,2018-06-28,8.88,8.9,8.39,8.42,3688771
77,2018-06-27,8.8,9.03,8.77,8.87,2056657
78,2018-06-26,8.7,8.835,8.7,8.77,1710268
79,2018-06-25,8.73,8.8,8.53,8.69,4656839
80,2018-06-22,8.72,8.8,8.52,8.73,3302088
81,2018-06-21,8.74,8.94,8.53,8.67,3147659
82,2018-06-20,8.27,8.82,8.24,8.7,4370053
83,2018-06-19,8.2,8.341,8.18,8.26,2222674
84,2018-06-18,8.0,8.31,7.9,8.29,3409799
85,2018-06-15,8.07,8.1,7.93,7.98,2759982
86,2018-06-14,8.08,8.175,7.9319,8.09,2884173
87,2018-06-13,8.27,8.34,7.98,8.05,3093258
88,2018-06-12,7.97,8.315,7.89,8.29,3254878
89,2018-06-11,8.22,8.29,7.86,7.97,3721357
90,2018-06-08,8.0,8.255,7.92,8.22,2004691
91,2018-06-07,8.01,8.07,7.84,8.0,1368594
92,2018-06-06,7.99,8.17,7.87,7.96,2587321
93,2018-06-05,7.84,7.99,7.75,7.96,1447828
94,2018-06-04,7.63,7.82,7.62,7.8,1267434
95,2018-06-01,7.56,7.69,7.45,7.64,3240474
96,2018-05-31,7.7,7.72,7.44,7.52,3670603
97,2018-05-30,7.52,7.69,7.47,7.67,2222391
98,2018-05-29,7.42,7.59,7.35,7.46,3414149
99,2018-05-25,7.71,7.72,7.46,7.47,2114541
100,2018-05-24,7.68,7.75,7.58,7.7,1736045
101,2018-05-23,7.57,7.72,7.51,7.67,1666254
102,2018-05-22,7.8,7.95,7.62,7.64,3737212
103,2018-05-21,7.35,7.8,7.32,7.75,4144785
104,2018-05-18,7.2,7.51,7.2,7.27,3752581
105,2018-05-17,7.02,7.41,7.02,7.17,5713195
106,2018-05-16,7.15,7.21,6.99,7.0,3924015
107,2018-05-15,7.25,7.27,6.93,7.13,7754614
108,2018-05-14,7.45,7.57,7.27,7.3,6584823
109,2018-05-11,7.94,7.97,7.32,7.4,6672827
110,2018-05-10,7.84,8.09,7.84,7.92,4317381
111,2018-05-09,8.99,9.12,7.64,7.82,11564852
112,2018-05-08,8.43,8.75,8.34,8.57,4159222
113,2018-05-07,8.15,8.47,8.15,8.44,2578199
114,2018-05-04,8.25,8.45,8.01,8.08,4964256
115,2018-05-03,8.71,8.75,8.25,8.28,3358785
116,2018-05-02,8.7,8.76,8.64,8.7,1727805
117,2018-05-01,8.92,8.99,8.66,8.68,1698011
118,2018-04-30,9.19,9.22,8.82,8.91,2558341
119,2018-04-27,9.07,9.22,9.04,9.11,1356649
120,2018-04-26,9.12,9.17,8.74,9.08,3967927
121,2018-04-25,8.92,9.2,8.84,9.12,1251115
122,2018-04-24,9.02,9.21,8.9821,8.99,1617044
123,2018-04-23,9.25,9.33,8.83,8.95,2354195
124,2018-04-20,9.37,9.44,9.18,9.3,1070898
125,2018-04-19,9.5,9.66,9.22,9.38,3010841
126,2018-04-18,9.24,9.63,9.2,9.56,2788823
127,2018-04-17,9.08,9.27,8.965,9.25,2045793
128,2018-04-16,9.05,9.07,8.89,8.99,1314063
129,2018-04-13,9.1,9.33,8.85,8.99,2198582
130,2018-04-12,9.07,9.25,8.95,9.1,2704490
131,2018-04-11,8.96,9.15,8.875,9.02,1979677
132,2018-04-10,9.13,9.28,8.86,9.05,4052722
133,2018-04-09,8.76,9.36,8.76,9.12,4643421
134,2018-04-06,8.68,8.9,8.5,8.75,3687662
135,2018-04-05,8.17,8.89,8.07,8.81,10407737
136,2018-04-04,7.46,7.92,7.45,7.85,4205620
137,2018-04-03,7.94,7.94,7.36,7.55,3926508
138,2018-04-02,7.97,8.05,7.67,7.83,2443744
139,2018-03-29,7.59,7.95,7.59,7.93,2952721
140,2018-03-28,7.63,7.94,7.53,7.6,3590930
141,2018-03-27,7.95,7.99,7.51,7.56,3582946
142,2018-03-26,8.22,8.25,7.89,7.95,4396930
143,2018-03-23,8.74,8.76,8.025,8.1,4169006
144,2018-03-22,8.9,8.94,8.62,8.67,2408097
145,2018-03-21,9.0,9.19,8.91,8.97,3754751
146,2018-03-20,9.24,9.24,8.89,8.96,3126495
147,2018-03-19,8.72,9.2,8.56,9.14,6452452
148,2018-03-16,9.03,9.44,8.7,8.73,17341266
149,2018-03-15,10.75,10.75,8.9,8.93,10323873
150,2018-03-14,10.67,10.68,10.21,10.21,5656738
151,2018-03-13,10.65,10.8,10.53,10.54,3052673
152,2018-03-12,10.61,10.77,10.5296,10.71,2337482
153,2018-03-09,10.65,10.66,10.45,10.53,1994995
154,2018-03-08,10.54,10.77,10.46,10.52,4982720
155,2018-03-07,10.3,10.55,10.2302,10.4,1714583
156,2018-03-06,10.81,10.81,10.27,10.35,4146207
157,2018-03-05,10.98,11.25,10.72,10.72,2845497
158,2018-03-02,10.69,11.16,10.58,11.07,3135029
159,2018-03-01,10.69,10.83,10.57,10.68,2502025
160,2018-02-28,11.38,11.38,10.55,10.56,6566511
161,2018-02-27,12.14,12.38,11.47,11.6,1849165
162,2018-02-26,12.03,12.195,11.87,12.15,1639731
163,2018-02-23,11.9,12.09,11.71,11.98,3210080
164,2018-02-22,11.66,12.0,11.59,11.91,2007155
165,2018-02-21,11.67,11.73,11.55,11.65,2562499
166,2018-02-20,11.53,11.69,11.42,11.59,1824463
167,2018-02-16,11.76,11.9,11.555,11.58,1617400
168,2018-02-15,11.94,11.979,11.18,11.69,5526800
169,2018-02-14,12.18,12.19,11.77,11.94,5808108
170,2018-02-13,13.0,13.02,12.09,12.15,6081717
171,2018-02-12,12.64,12.77,12.47,12.68,2783082
172,2018-02-09,12.39,12.68,12.15,12.64,4091483
173,2018-02-08,12.57,12.57,12.27,12.37,4065769
174,2018-02-07,12.22,12.54,12.2,12.51,2671197
175,2018-02-06,12.2,12.5,12.14,12.3,4608500
176,2018-02-05,12.8,12.85,12.46,12.64,4006403
177,2018-02-02,12.64,12.95,12.6,12.86,6012350
178,2018-02-01,12.48,12.81,12.45,12.75,6075130
179,2018-01-31,12.46,12.57,12.4,12.48,6624857
180,2018-01-30,12.0,12.4,11.91,12.4,5639085
181,2018-01-29,11.89,12.23,11.85,12.08,9508361
182,2018-01-26,11.81,11.92,11.75,11.9,7910563
183,2018-01-25,11.91,11.94,11.6,11.9,9448552
184,2018-01-24,11.91,12.1443,11.3,11.91,10369003
185,2018-01-23,11.47,12.12,11.45,11.91,8272057
186,2018-01-22,12.12,12.18,11.12,11.45,26132855
187,2018-01-19,12.65,12.97,12.0,12.39,68187400
