,timestamp,open,high,low,close,volume
0,2018-10-16,14.87,15.38,14.85,15.36,7945705
1,2018-10-15,14.77,15.005,14.74,14.84,4671481
2,2018-10-12,14.46,14.68,14.37,14.65,6177240
3,2018-10-11,14.87,14.97,14.31,14.44,7313080
4,2018-10-10,14.74,15.11,14.73,14.78,7697186
5,2018-10-09,14.8,14.86,14.71,14.82,7623934
6,2018-10-08,14.72,14.82,14.63,14.77,6298191
7,2018-10-05,14.56,14.71,14.5,14.66,5965660
8,2018-10-04,14.52,14.53,14.305,14.51,4890870
9,2018-10-03,14.49,14.73,14.345,14.53,8214708
10,2018-10-02,14.13,14.49,14.1179,14.43,8300183
11,2018-10-01,13.99,14.14,13.88,14.05,7027318
12,2018-09-28,13.7,14.01,13.6763,14.0,5578198
13,2018-09-27,13.62,13.77,13.55,13.7,4194459
14,2018-09-26,13.77,13.77,13.54,13.61,5492728
15,2018-09-25,13.69,13.785,13.49,13.7,10257851
16,2018-09-24,13.96,14.01,13.74,13.76,5382771
17,2018-09-21,13.82,14.01,13.78,13.96,8521685
18,2018-09-20,13.64,13.86,13.49,13.81,5128900
19,2018-09-19,13.77,13.77,13.545,13.59,8376602
20,2018-09-18,13.64,13.84,13.57,13.75,7925519
21,2018-09-17,13.56,13.675,13.5,13.64,5282863
22,2018-09-14,13.4,13.64,13.39,13.55,6918026
23,2018-09-13,13.23,13.49,13.175,13.45,8968334
24,2018-09-12,13.12,13.26,13.03,13.23,8296141
25,2018-09-11,13.17,13.23,13.0,13.08,9088333
26,2018-09-10,13.18,13.25,13.07,13.22,5439843
27,2018-09-07,13.16,13.24,13.08,13.11,4933225
28,2018-09-06,13.41,13.46,13.26,13.28,4479768
29,2018-09-05,13.19,13.5,13.165,13.41,9487947
30,2018-09-04,13.43,13.53,13.09,13.15,10959914
31,2018-08-31,13.87,13.87,13.4,13.46,9630255
32,2018-08-30,14.0,14.04,13.825,13.9,6189959
33,2018-08-29,14.02,14.1,13.91,14.01,5860786
34,2018-08-28,13.91,13.98,13.84,13.91,3084541
35,2018-08-27,14.06,14.08,13.92,13.96,2826958
36,2018-08-24,14.07,14.09,13.95,14.01,3877226
37,2018-08-23,13.98,14.11,13.96,14.01,4758917
38,2018-08-22,13.95,14.01,13.9,13.99,3528554
39,2018-08-21,13.96,14.02,13.91,13.97,3670339
40,2018-08-20,13.99,14.0,13.885,13.96,3721815
41,2018-08-17,13.76,13.99,13.7,13.94,4541754
42,2018-08-16,13.51,13.925,13.47,13.87,7318143
43,2018-08-15,13.48,13.55,13.4,13.49,7684842
44,2018-08-14,13.42,13.56,13.4,13.5,6105673
45,2018-08-13,13.56,13.58,13.35,13.38,6132622
46,2018-08-10,13.71,13.8,13.55,13.56,5187732
47,2018-08-09,13.95,13.97,13.71,13.74,6606412
48,2018-08-08,13.79,13.995,13.69,13.95,7915941
49,2018-08-07,13.27,13.8,13.23,13.63,7520689
50,2018-08-06,13.75,13.87,13.71,13.82,8094856
51,2018-08-03,13.54,13.74,13.48,13.69,8038038
52,2018-08-02,13.28,13.56,13.27,13.55,10164775
53,2018-08-01,13.36,13.59,13.34,13.47,9492522
54,2018-07-31,13.3,13.46,13.26,13.36,10961260
55,2018-07-30,13.38,13.46,13.29,13.3,7106903
