,timestamp,open,high,low,close,volume
0,2018-10-16,63.98,65.28,63.43,65.2,1102788
1,2018-10-15,62.75,64.04,62.24,63.3,2734557
2,2018-10-12,62.7,63.37,61.79,63.0,2194883
3,2018-10-11,62.26,63.79,61.34,61.34,2126657
4,2018-10-10,64.63,65.0,62.45,62.5,2819951
5,2018-10-09,65.19,65.86,64.79,64.93,1269645
6,2018-10-08,65.94,66.14,64.49,65.38,1973663
7,2018-10-05,66.3,66.88,65.4,66.24,2194845
8,2018-10-04,68.85,68.85,66.09,66.32,3730940
9,2018-10-03,69.85,70.26,69.48,69.79,2014976
10,2018-10-02,71.15,71.33,69.06,69.41,2994225
11,2018-10-01,73.39,73.39,71.285,71.53,1035528
12,2018-09-28,72.36,73.18,72.28,73.15,1722431
13,2018-09-27,72.72,73.17,72.35,72.41,1011064
14,2018-09-26,73.15,73.46,72.35,72.51,1685333
15,2018-09-25,72.81,73.5,72.75,72.83,1388717
16,2018-09-24,73.28,73.41,72.27,72.87,1328959
17,2018-09-21,74.5,74.65,73.42,73.5,2397829
18,2018-09-20,73.65,74.42,73.65,74.17,1110694
19,2018-09-19,74.14,74.865,73.44,73.74,1201180
20,2018-09-18,74.14,75.39,74.14,74.33,977848
21,2018-09-17,75.67,75.99,74.15,74.28,1409306
22,2018-09-14,76.19,76.3,75.02,75.8,1525514
23,2018-09-13,76.59,76.836,75.67,76.16,864383
24,2018-09-12,76.7,76.9401,75.68,76.01,1021981
25,2018-09-11,76.53,77.35,76.24,76.9,829969
26,2018-09-10,75.84,77.13,75.68,76.75,1458870
27,2018-09-07,73.62,74.88,73.15,74.51,854212
28,2018-09-06,73.63,74.535,73.3934,74.28,890279
29,2018-09-05,74.51,74.53,73.08,73.69,1095549
30,2018-09-04,74.66,74.82,74.19,74.74,816372
31,2018-08-31,74.63,75.25,74.42,75.14,1146299
32,2018-08-30,75.12,75.23,74.4,74.71,726868
33,2018-08-29,74.56,75.36,74.03,75.23,1007057
34,2018-08-28,74.76,75.285,74.37,74.45,841409
35,2018-08-27,73.92,74.55,73.67,74.51,904170
36,2018-08-24,73.22,73.78,73.02,73.4,1084628
37,2018-08-23,73.05,73.59,72.36,73.07,1065738
38,2018-08-22,72.75,73.465,72.75,73.11,872476
39,2018-08-21,72.62,73.3434,72.51,72.78,964106
40,2018-08-20,71.85,72.74,71.52,72.51,2134678
41,2018-08-17,71.26,71.615,70.9,71.44,1463022
42,2018-08-16,72.38,72.515,71.11,71.39,1793549
43,2018-08-15,71.55,72.555,70.81,71.69,2453973
44,2018-08-14,72.24,72.79,71.75,72.2,1962344
45,2018-08-13,72.71,73.54,71.93,72.0,1904540
46,2018-08-10,75.9,76.87,74.58,74.66,1865884
47,2018-08-09,76.62,77.58,76.4601,76.84,1819317
48,2018-08-08,75.24,76.89,75.14,76.62,1753713
49,2018-08-07,75.41,75.88,74.31,75.67,1482387
50,2018-08-06,74.54,75.51,74.54,75.32,2210934
51,2018-08-03,74.25,75.0,73.92,74.61,1558575
52,2018-08-02,70.1,74.48,70.1,74.28,3034500
53,2018-08-01,70.26,72.0,69.38,71.63,7981067
54,2018-07-31,75.27,75.99,74.7135,75.26,2372314
55,2018-07-30,79.51,79.51,75.16,75.29,2958904
56,2018-07-27,80.93,81.24,79.1884,79.64,1333643
57,2018-07-26,79.5,80.79,79.3972,80.73,1540529
58,2018-07-25,79.45,80.76,78.522,80.13,2663450
59,2018-07-24,79.9,80.0,79.03,79.22,1700939
60,2018-07-23,78.44,79.8,78.12,79.75,1240514
61,2018-07-20,78.57,79.18,78.05,78.91,1308630
62,2018-07-19,77.96,78.37,77.73,78.24,1009763
63,2018-07-18,78.83,78.83,78.01,78.12,1145179
64,2018-07-17,77.22,78.78,77.2,78.63,1117279
65,2018-07-16,77.53,78.06,77.31,77.68,1048875
66,2018-07-13,76.96,77.38,76.21,77.32,1036229
67,2018-07-12,77.08,77.73,76.52,77.67,909916
68,2018-07-11,75.18,76.51,74.59,76.49,1369905
69,2018-07-10,76.11,76.315,75.251,75.83,1221845
70,2018-07-09,75.8,76.38,75.27,76.23,1440433
71,2018-07-06,74.39,75.33,74.03,75.17,1251674
72,2018-07-05,73.62,74.5799,73.45,74.34,1555885
73,2018-07-03,75.0,75.0,73.89,74.23,1251111
74,2018-07-02,72.68,74.52,72.19,74.44,2403325
75,2018-06-29,72.51,74.01,72.09,73.23,2839958
76,2018-06-28,71.05,72.97,71.021,72.48,2159263
77,2018-06-27,74.53,76.14,72.43,72.46,4369719
78,2018-06-26,74.49,76.1,73.48,75.72,4634780
79,2018-06-25,79.6,79.6,77.51,77.65,3333218
80,2018-06-22,81.85,81.85,79.72,80.32,5841386
81,2018-06-21,82.37,83.08,81.3654,81.69,2196620
82,2018-06-20,81.89,82.98,81.75,82.3,1529567
83,2018-06-19,81.81,82.21,80.89,81.68,2608017
84,2018-06-18,81.51,82.71,81.02,82.58,2088688
85,2018-06-15,80.56,81.98,80.26,81.97,3554151
86,2018-06-14,81.11,81.56,80.77,80.86,2136425
87,2018-06-13,80.41,81.38,80.21,80.95,1956712
88,2018-06-12,79.42,80.7,79.08,80.57,2964058
89,2018-06-11,78.54,79.58,78.5,79.26,1398967
90,2018-06-08,78.0,78.58,77.281,78.48,2522002
91,2018-06-07,78.26,78.75,77.81,78.28,1958887
92,2018-06-06,79.1,79.3,77.21,78.01,2594395
93,2018-06-05,77.35,79.41,77.305,78.99,4148639
94,2018-06-04,76.0,77.09,75.8811,77.07,2451756
95,2018-06-01,75.7,76.47,75.54,76.0,2820773
96,2018-05-31,76.02,76.02,75.0,75.38,2683714
97,2018-05-30,76.11,76.629,75.37,76.08,3063465
98,2018-05-29,76.39,77.19,75.17,75.82,1713412
99,2018-05-25,77.08,77.44,76.28,76.51,1128499
100,2018-05-24,77.31,77.89,77.07,77.48,1855843
101,2018-05-23,75.78,77.045,75.69,77.02,1257581
102,2018-05-22,77.64,78.25,76.26,76.39,1590522
103,2018-05-21,75.88,76.68,75.545,76.46,1676261
104,2018-05-18,75.84,76.0,75.11,75.34,1423635
105,2018-05-17,75.54,76.26,75.25,76.09,6090394
106,2018-05-16,76.08,76.49,74.18,74.59,2420025
107,2018-05-15,76.37,76.67,75.6,76.29,1123921
108,2018-05-14,76.65,77.27,76.42,76.69,2038639
109,2018-05-11,76.36,76.9,76.08,76.3,952866
110,2018-05-10,77.33,77.59,76.07,76.36,2256265
111,2018-05-09,73.95,77.39,73.77,77.3,2720062
112,2018-05-08,73.54,73.9,73.12,73.68,1515893
113,2018-05-07,72.18,73.13,71.9,73.12,1311440
114,2018-05-04,71.0,72.32,70.2,72.01,1142621
115,2018-05-03,71.3,71.6,70.4,71.45,1381769
116,2018-05-02,70.78,71.9,70.78,71.65,1902413
117,2018-05-01,74.0,74.5,68.931,70.84,4723504
118,2018-04-30,71.51,72.225,71.05,71.65,3787824
119,2018-04-27,71.84,71.8712,71.04,71.1,692530
120,2018-04-26,71.03,71.89,70.76,71.53,817103
121,2018-04-25,71.14,71.14,69.78,70.78,918300
122,2018-04-24,72.0,72.24,70.31,70.97,1174719
123,2018-04-23,71.61,72.27,71.08,71.67,704087
124,2018-04-20,72.71,73.0,71.14,71.3,832302
125,2018-04-19,72.48,73.12,71.88,72.46,695920
126,2018-04-18,72.55,73.19,72.275,72.85,1050092
127,2018-04-17,71.99,72.77,71.75,72.49,935627
128,2018-04-16,71.98,72.24,71.42,71.64,882418
129,2018-04-13,72.24,72.24,71.1001,71.43,1237222
130,2018-04-12,72.13,72.6,71.82,71.92,968419
131,2018-04-11,71.55,72.57,71.47,71.59,800226
132,2018-04-10,71.31,72.71,71.02,72.49,1257121
133,2018-04-09,69.86,71.61,69.79,70.46,1121961
134,2018-04-06,71.38,71.44,69.14,69.34,1433715
135,2018-04-05,71.17,72.59,70.8,72.29,1513883
136,2018-04-04,68.83,70.62,68.5,70.41,1692194
137,2018-04-03,69.5,70.27,69.31,70.12,1493969
138,2018-04-02,70.81,70.81,68.81,69.25,1411445
139,2018-03-29,70.82,71.52,70.03,70.98,2001076
140,2018-03-28,70.68,71.43,69.86,70.05,5695431
141,2018-03-27,72.26,72.6826,70.28,70.75,910916
142,2018-03-26,71.34,72.35,70.37,72.18,988753
143,2018-03-23,71.69,72.41,70.1,70.19,1028712
144,2018-03-22,72.76,73.19,71.62,71.65,840203
145,2018-03-21,73.73,73.9,73.135,73.39,920462
146,2018-03-20,72.54,73.79,72.54,73.68,1200606
147,2018-03-19,73.51,74.0,71.99,72.49,1134503
148,2018-03-16,74.52,74.87,74.0,74.02,2449581
149,2018-03-15,74.8,75.38,74.0891,74.71,1848939
150,2018-03-14,73.12,73.6,72.69,73.25,981717
151,2018-03-13,75.1,75.6,73.15,73.3,1304613
152,2018-03-12,75.87,75.99,74.551,74.97,1299466
153,2018-03-09,76.72,78.28,73.98,76.07,3180935
154,2018-03-08,70.5,75.19,70.3001,75.08,4132345
155,2018-03-07,69.5,70.42,69.36,69.99,2000355
156,2018-03-06,70.0,70.7,69.46,69.94,1002078
157,2018-03-05,68.84,70.115,68.2782,69.81,1398682
158,2018-03-02,66.93,69.5,66.67,69.43,1493030
159,2018-03-01,67.44,68.74,67.15,67.92,1258684
160,2018-02-28,68.7,69.0,67.46,67.46,1027545
161,2018-02-27,68.5,68.93,67.39,68.24,1159771
162,2018-02-26,67.56,69.0,67.56,68.6,1336021
163,2018-02-23,66.52,67.37,66.38,67.36,918469
164,2018-02-22,66.42,67.11,66.04,66.25,988900
165,2018-02-21,66.97,67.78,66.28,66.32,1753281
166,2018-02-20,66.52,67.37,66.28,66.77,1366282
167,2018-02-16,67.0,67.95,66.82,66.89,1074950
168,2018-02-15,66.81,67.43,66.61,67.4,1426479
169,2018-02-14,64.57,67.15,64.5,66.87,1758584
170,2018-02-13,64.55,65.03,64.42,64.49,1605118
171,2018-02-12,64.65,65.47,63.9,64.93,1575241
172,2018-02-09,63.05,64.63,61.0,64.13,2174539
173,2018-02-08,64.79,64.96,62.46,62.49,2166411
174,2018-02-07,67.75,68.65,64.31,64.48,5324054
175,2018-02-06,61.7,64.04,61.41,63.67,2893650
176,2018-02-05,65.34,66.0,62.69,62.81,1765027
177,2018-02-02,67.28,67.3,65.37,65.72,1481434
178,2018-02-01,66.42,67.9,65.75,67.56,1378089
179,2018-01-31,67.0,68.3,66.59,66.99,1945096
180,2018-01-30,66.56,67.2,65.98,66.56,1715315
181,2018-01-29,67.39,67.7284,66.981,67.25,1283846
182,2018-01-26,67.1,67.87,66.97,67.62,1453907
183,2018-01-25,66.41,67.15,65.9455,66.87,1268448
184,2018-01-24,66.28,66.46,65.85,66.02,1144198
185,2018-01-23,65.65,66.4,65.65,66.0,881248
186,2018-01-22,65.41,65.65,65.03,65.65,1306460
187,2018-01-19,65.3,65.87,65.07,65.63,1336541
188,2018-01-18,65.04,65.43,64.91,65.08,847971
189,2018-01-17,64.94,65.4,64.53,65.4,1117252
190,2018-01-16,65.53,65.555,64.18,64.5,3206288
191,2018-01-12,65.32,65.66,65.07,65.52,992660
192,2018-01-11,65.33,65.91,64.36,65.21,2831319
193,2018-01-10,67.56,67.97,66.2495,66.33,2062538
194,2018-01-09,65.75,69.56,65.27,67.49,4499491
195,2018-01-08,65.95,66.09,65.21,65.88,1161164
196,2018-01-05,65.7,65.86,65.4601,65.83,1040151
197,2018-01-04,66.16,66.25,65.44,65.6,1826090
198,2018-01-03,65.27,66.0,65.1,65.94,2287131
199,2018-01-02,65.13,65.94,64.7,65.56,1413189
200,2017-12-29,65.5,65.65,65.01,65.04,879628
201,2017-12-28,65.29,65.55,64.92,65.43,1317521
202,2017-12-27,65.4,65.5,64.86,65.19,1275292
203,2017-12-26,65.58,65.87,65.04,65.42,2343118
204,2017-12-22,65.76,66.32,65.245,65.45,1513553
205,2017-12-21,66.43,66.77,65.66,65.84,2016019
206,2017-12-20,67.45,67.57,66.52,66.63,3060439
207,2017-12-19,65.87,67.71,65.1,66.82,5721160
208,2017-12-18,66.33,68.03,64.83,65.67,14464004
209,2017-12-15,56.9,57.99,56.72,57.76,9147116
210,2017-12-14,56.79,57.221,56.73,56.76,1714485
211,2017-12-13,56.98,57.18,56.56,56.66,2605979
212,2017-12-12,56.73,57.12,56.5,57.02,1599177
213,2017-12-11,56.59,57.01,56.31,56.55,2040088
214,2017-12-08,56.75,57.12,56.37,56.5,1754643
215,2017-12-07,55.65,56.51,55.51,56.44,1508118
216,2017-12-06,55.885,56.55,55.51,55.77,1681593
217,2017-12-05,56.78,56.86,56.15,56.44,1875810
218,2017-12-04,55.93,56.95,55.65,56.44,2499733
219,2017-12-01,55.43,55.88,54.74,55.79,2188307
220,2017-11-30,55.03,56.2,55.03,55.78,2262285
221,2017-11-29,55.7,56.04,55.06,55.34,1824465
222,2017-11-28,56.16,56.16,54.91,55.36,2081378
223,2017-11-27,55.25,55.72,54.39,55.35,3880876
224,2017-11-24,56.0,56.0,55.59,55.79,435112
225,2017-11-22,55.73,56.0,55.52,55.69,1540393
226,2017-11-21,55.61,55.7,55.35,55.68,1115667
227,2017-11-20,55.6,55.6,55.0,55.38,1720877
228,2017-11-17,55.37,55.56,55.18,55.44,3349176
229,2017-11-16,54.21,55.295,53.9153,55.26,2761466
230,2017-11-15,53.5,54.14,53.34,54.01,2443128
231,2017-11-14,53.43,53.87,53.08,53.75,1668961
232,2017-11-13,54.11,54.23,53.46,53.52,2488536
233,2017-11-10,53.8,54.32,53.7,54.26,1976076
234,2017-11-09,53.66,53.87,53.01,53.85,1787449
235,2017-11-08,53.85,53.93,53.23,53.76,1437890
236,2017-11-07,54.0,54.02,53.5,53.76,1605249
237,2017-11-06,53.12,53.76,52.92,53.74,1303878
238,2017-11-03,52.26,53.1,52.02,53.01,1554342
239,2017-11-02,52.55,52.61,51.79,52.29,1551256
240,2017-11-01,52.7,53.07,52.34,52.69,1597044
241,2017-10-31,52.4,52.6,52.2,52.25,1710209
242,2017-10-30,53.11,53.13,52.15,52.46,2027773
243,2017-10-27,53.96,54.01,52.29,53.0,2759640
244,2017-10-26,54.02,54.65,52.88,53.34,3400067
245,2017-10-25,55.65,56.85,53.84,54.0,10209200
246,2017-10-24,51.5,52.09,50.96,51.91,4162734
247,2017-10-23,51.89,52.09,51.41,51.46,2266005
248,2017-10-20,51.86,52.1,51.63,51.87,1893817
249,2017-10-19,50.92,51.68,50.83,51.65,1276276
250,2017-10-18,50.7,51.19,50.56,51.0,1305037
251,2017-10-17,50.65,50.92,50.39,50.58,909275
252,2017-10-16,50.84,51.1,50.7,50.73,1425448
253,2017-10-13,50.66,50.89,50.58,50.76,1308233
254,2017-10-12,50.41,50.93,50.22,50.52,1165549
255,2017-10-11,49.86,50.52,49.59,50.52,2288168
256,2017-10-10,50.73,51.11,50.59,51.03,1024605
257,2017-10-09,50.59,50.59,50.11,50.31,1186688
258,2017-10-06,50.7,50.87,50.21,50.63,1271616
259,2017-10-05,50.6,50.86,50.34,50.78,1407907
260,2017-10-04,50.49,50.7,50.26,50.5,1372269
261,2017-10-03,50.14,50.64,49.91,50.5,1797242
262,2017-10-02,49.35,50.08,48.72,50.0,2403699
263,2017-09-29,47.59,48.82,47.58,48.72,1784035
264,2017-09-28,47.62,47.71,46.97,47.68,1775580
265,2017-09-27,48.12,48.13,47.44,47.75,1417773
266,2017-09-26,48.21,48.34,47.76,47.83,1860907
267,2017-09-25,48.2,48.6,47.44,47.92,2551979
268,2017-09-22,47.26,48.38,47.01,48.33,1654920
269,2017-09-21,47.59,47.89,47.5,47.52,1109229
270,2017-09-20,47.69,47.9,47.34,47.67,1319676
271,2017-09-19,47.77,47.82,47.29,47.69,1688468
272,2017-09-18,47.39,47.91,47.36,47.57,1357116
273,2017-09-15,46.56,47.36,46.49,47.34,2678646
274,2017-09-14,46.57,46.66,46.13,46.6,1384701
275,2017-09-13,46.74,46.91,46.53,46.68,1133479
276,2017-09-12,46.45,46.98,46.26,46.8,1299163
277,2017-09-11,46.29,46.62,46.22,46.47,1354477
278,2017-09-08,46.95,46.95,45.94,46.0,1681321
279,2017-09-07,46.98,47.0,46.61,46.8,1467483
280,2017-09-06,46.23,46.97,46.1,46.89,1547503
281,2017-09-05,46.86,47.0,45.81,46.17,1642486
282,2017-09-01,47.28,47.65,47.05,47.08,1149430
283,2017-08-31,46.63,47.35,46.53,47.15,1721387
284,2017-08-30,45.72,46.53,45.64,46.47,1819798
285,2017-08-29,44.81,45.86,44.71,45.71,1984968
286,2017-08-28,45.06,45.25,44.91,45.14,1102820
287,2017-08-25,45.49,45.49,44.95,44.98,1701340
288,2017-08-24,45.51,45.67,45.1,45.23,1103462
289,2017-08-23,45.55,45.76,45.32,45.42,1137374
290,2017-08-22,45.04,45.89,45.04,45.81,1266660
291,2017-08-21,45.29,45.39,44.65,44.91,1313651
292,2017-08-18,45.46,45.86,45.18,45.36,1368376
293,2017-08-17,46.39,46.4,45.37,45.4,1487672
294,2017-08-16,46.41,46.74,45.87,46.29,1704390
295,2017-08-15,46.82,47.09,46.13,46.34,1675612
296,2017-08-14,46.59,47.29,46.46,46.82,1960868
297,2017-08-11,46.38,46.62,46.18,46.37,1312927
298,2017-08-10,47.05,47.2,46.31,46.31,1811990
299,2017-08-09,47.18,47.86,46.74,47.4,1618405
300,2017-08-08,47.17,47.68,46.9,47.27,1377671
301,2017-08-07,47.96,47.99,47.22,47.31,1580112
302,2017-08-04,48.09,48.42,47.81,47.87,1391608
303,2017-08-03,47.56,48.19,47.46,48.04,1858454
304,2017-08-02,47.43,47.56,46.95,47.51,1759813
305,2017-08-01,47.43,47.63,47.12,47.53,1980480
306,2017-07-31,46.97,47.28,46.25,47.14,2567377
307,2017-07-28,46.06,47.27,45.9,46.89,2979121
308,2017-07-27,45.67,46.99,45.41,46.01,4616427
309,2017-07-26,49.95,50.0,45.41,45.49,15045793
310,2017-07-25,52.36,53.45,52.08,53.28,3241126
311,2017-07-24,52.15,52.45,52.04,52.37,1609796
312,2017-07-21,52.25,52.45,51.81,52.13,1283097
313,2017-07-20,52.1,52.64,51.8,52.36,1360049
314,2017-07-19,51.63,52.24,51.58,52.1,1190883
315,2017-07-18,51.69,51.83,51.19,51.53,1739884
316,2017-07-17,50.89,52.46,50.89,51.77,2515938
317,2017-07-14,50.2,50.68,50.1,50.62,1142109
318,2017-07-13,50.64,50.64,50.06,50.08,1062629
319,2017-07-12,50.14,50.83,50.07,50.55,1503772
320,2017-07-11,49.63,50.27,49.5,49.83,996556
321,2017-07-10,49.31,49.78,49.11,49.65,1472542
322,2017-07-07,49.55,50.13,49.18,49.24,1998025
323,2017-07-06,50.63,50.63,49.27,49.36,2514385
324,2017-07-05,50.27,51.02,50.01,50.95,1749803
325,2017-07-03,50.15,50.73,50.01,50.09,959422
326,2017-06-30,50.53,50.53,49.64,49.81,1534652
327,2017-06-29,50.28,50.45,49.13,50.24,2705946
328,2017-06-28,50.26,50.8,50.06,50.63,1167772
329,2017-06-27,50.73,51.14,50.0,50.0,1773291
330,2017-06-26,51.3,51.65,50.5,50.87,1567554
331,2017-06-23,50.12,51.51,49.92,51.3,3415219
