,timestamp,open,high,low,close,volume
0,2018-10-16,61.14,61.28,60.43,60.77,6829023
1,2018-10-15,60.19,62.29,60.07,61.44,8122851
2,2018-10-12,60.32,60.61,59.5,60.06,10604363
3,2018-10-11,62.91,63.57,60.84,61.12,9076176
4,2018-10-10,63.2,64.5,62.84,62.91,11685268
5,2018-10-09,63.23,63.557,62.76,63.1,5837687
6,2018-10-08,62.35,63.47,62.2,63.17,7689434
7,2018-10-05,61.75,62.23,61.45,62.07,7177004
8,2018-10-04,60.45,61.91,60.02,61.78,6229406
9,2018-10-03,61.42,62.095,60.765,60.86,7323987
10,2018-10-02,60.25,61.39,60.0599,61.29,9370236
11,2018-10-01,60.34,60.66,59.6,60.33,5885634
12,2018-09-28,60.84,60.96,60.27,60.31,6649143
13,2018-09-27,60.79,61.495,60.633,60.77,4213482
14,2018-09-26,61.03,61.29,60.74,60.81,7455291
15,2018-09-25,61.6,61.81,60.68,60.71,8229088
16,2018-09-24,62.06,62.49,61.02,61.06,7323485
17,2018-09-21,62.45,62.645,62.15,62.55,9754657
18,2018-09-20,62.0,62.5,61.695,62.26,5076783
19,2018-09-19,61.88,62.699,61.35,61.84,4490918
20,2018-09-18,62.67,62.81,61.81,62.14,6420796
21,2018-09-17,62.07,62.59,61.73,62.44,6050032
22,2018-09-14,61.64,62.149,60.695,62.07,7372510
23,2018-09-13,62.41,62.48,60.64,61.46,8938267
24,2018-09-12,59.51,64.04,59.12,63.43,18202010
25,2018-09-11,60.56,60.7,59.345,59.47,7138775
26,2018-09-10,61.02,61.69,60.54,60.58,5694136
27,2018-09-07,60.51,61.06,60.41,60.93,7558933
28,2018-09-06,60.62,60.9,60.3201,60.79,5806048
29,2018-09-05,59.08,60.68,58.93,60.65,6635408
30,2018-09-04,58.64,59.36,58.45,59.11,4734762
31,2018-08-31,58.55,59.02,58.35,58.52,4278202
32,2018-08-30,58.32,58.86,58.32,58.68,3901475
33,2018-08-29,58.48,58.76,58.33,58.42,3895593
34,2018-08-28,59.0,59.1,58.3,58.45,5691884
35,2018-08-27,58.81,59.309,58.7,59.01,6103268
36,2018-08-24,59.25,59.37,58.55,58.78,7704999
37,2018-08-23,59.3,59.93,59.26,59.82,4137756
38,2018-08-22,60.07,60.23,59.31,59.32,4580705
39,2018-08-21,60.94,60.94,59.58,59.93,8386376
40,2018-08-20,61.0,61.305,60.72,60.99,4488896
41,2018-08-17,60.92,61.32,60.79,61.0,5438265
42,2018-08-16,60.38,61.0,60.27,60.83,7166735
43,2018-08-15,59.07,60.3,59.02,60.18,6894056
44,2018-08-14,59.12,59.66,58.92,59.21,4028875
45,2018-08-13,59.04,59.3,58.71,58.98,5962411
46,2018-08-10,59.21,59.45,58.86,59.05,4284302
47,2018-08-09,58.51,59.33,58.49,59.22,4646697
48,2018-08-08,59.36,59.55,58.5,58.61,5302905
49,2018-08-07,60.05,60.13,59.34,59.56,5661903
50,2018-08-06,59.64,60.25,59.505,60.21,6937987
51,2018-08-03,58.88,59.99,58.83,59.73,6341833
52,2018-08-02,58.13,59.04,58.035,58.83,6375355
53,2018-08-01,58.52,58.64,58.03,58.08,8070793
54,2018-07-31,58.73,59.1,58.46,58.68,11759699
55,2018-07-30,57.73,58.78,57.73,58.45,6430753
56,2018-07-27,56.36,58.17,56.08,57.9,12220616
57,2018-07-26,56.34,57.57,55.78,56.1,10404268
58,2018-07-25,58.05,58.4352,57.53,57.85,8134779
59,2018-07-24,57.61,58.3,57.42,57.99,7627350
60,2018-07-23,57.57,57.76,57.06,57.59,4729001
61,2018-07-20,56.77,57.86,56.76,57.64,6543290
62,2018-07-19,56.67,57.0338,55.18,56.94,9201259
63,2018-07-18,57.17,57.8,57.09,57.43,5066224
64,2018-07-17,57.15,57.74,57.09,57.35,8012057
65,2018-07-16,58.34,58.4299,56.9601,57.14,7032229
66,2018-07-13,58.06,58.7233,58.0227,58.5,5428194
67,2018-07-12,58.82,58.95,57.86,58.01,5279849
68,2018-07-11,58.8,58.98,58.27,58.69,7697618
69,2018-07-10,58.47,58.79,58.09,58.76,9760367
70,2018-07-09,58.29,58.35,57.63,58.02,7837859
71,2018-07-06,57.75,58.56,57.64,58.29,8720175
72,2018-07-05,56.45,57.64,56.35,57.63,6716569
73,2018-07-03,56.08,56.65,55.67,56.46,5002960
