,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2019-02-04,6.09,6.1299,6.065,6.11,6.11,53518,0.0,1.0
1,2019-02-01,6.03,6.1201,6.03,6.09,6.09,89616,0.0,1.0
2,2019-01-31,6.08,6.08,6.0202,6.0505,6.0505,115411,0.0,1.0
3,2019-01-30,6.03,6.0699,6.0,6.06,6.06,74660,0.0,1.0
4,2019-01-29,6.06,6.068,6.0,6.02,6.02,55342,0.0,1.0
5,2019-01-28,6.11,6.11,6.06,6.1,6.1,48030,0.0,1.0
6,2019-01-25,6.09,6.1299,6.07,6.1,6.1,22980,0.0,1.0
7,2019-01-24,6.17,6.17,6.11,6.11,6.11,88384,0.0,1.0
8,2019-01-23,6.12,6.1685,6.11,6.15,6.15,178242,0.0,1.0
9,2019-01-22,6.1,6.15,6.04,6.12,6.12,95538,0.0,1.0
10,2019-01-18,6.09,6.1,6.03,6.03,6.03,165719,0.0,1.0
11,2019-01-17,5.9765,6.1009,5.97,6.06,6.06,45504,0.0,1.0
12,2019-01-16,6.03,6.05,5.99,6.01,6.01,67916,0.0,1.0
13,2019-01-15,6.0,6.02,5.955,6.0,6.0,78753,0.0,1.0
14,2019-01-14,6.05,6.0573,6.012,6.04,6.04,60582,0.0,1.0
15,2019-01-11,6.07,6.12,6.06,6.08,6.08,50260,0.0,1.0
16,2019-01-10,6.08,6.08,6.01,6.02,6.02,82364,0.0,1.0
17,2019-01-09,6.1,6.14,6.08,6.09,6.09,56437,0.0,1.0
18,2019-01-08,6.1,6.1329,6.075,6.09,6.09,106416,0.0,1.0
19,2019-01-07,6.08,6.08,6.03,6.06,6.06,116556,0.0,1.0
20,2019-01-04,6.06,6.1,6.05,6.06,6.06,277202,0.0,1.0
21,2019-01-03,5.98,6.05,5.98,6.03,6.03,90717,0.0,1.0
22,2019-01-02,5.97,5.99,5.94,5.98,5.98,117200,0.0,1.0
23,2018-12-31,5.99,6.0001,5.93,5.93,5.93,121527,0.0,1.0
24,2018-12-28,6.0397,6.07,6.02,6.03,6.03,74896,0.0,1.0
25,2018-12-27,6.01,6.03,5.99,6.0278,6.0278,36933,0.0,1.0
26,2018-12-26,6.05,6.1285,6.01,6.02,6.02,40055,0.0,1.0
27,2018-12-24,6.03,6.08,6.02,6.08,6.08,48398,0.0,1.0
28,2018-12-21,6.12,6.12,6.03,6.03,6.03,113181,0.0,1.0
29,2018-12-20,6.14,6.1951,6.13,6.13,6.13,49739,0.0,1.0
30,2018-12-19,6.2,6.2,6.13,6.13,6.13,102261,0.0,1.0
31,2018-12-18,6.22,6.28,6.21,6.22,6.22,99521,0.0,1.0
32,2018-12-17,6.24,6.2732,6.24,6.26,6.26,83192,0.0,1.0
33,2018-12-14,6.26,6.28,6.19,6.21,6.21,112330,0.0,1.0
34,2018-12-13,6.22,6.28,6.1844,6.26,6.26,163926,0.0,1.0
35,2018-12-12,6.14,6.2,6.14,6.17,6.17,57158,0.0,1.0
36,2018-12-11,6.19,6.2,6.07,6.14,6.14,89567,0.0,1.0
37,2018-12-10,6.19,6.19,6.15,6.16,6.16,43922,0.0,1.0
38,2018-12-07,6.06,6.22,6.06,6.22,6.22,205460,0.0,1.0
39,2018-12-06,6.05,6.05,5.98,6.03,6.03,51233,0.0,1.0
40,2018-12-04,6.11,6.11,6.0768,6.11,6.11,66147,0.0,1.0
41,2018-12-03,6.13,6.14,6.07,6.11,6.11,91738,0.0,1.0
42,2018-11-30,5.99,6.0899,5.99,6.07,6.07,91713,0.0,1.0
43,2018-11-29,6.0,6.027,5.9649,5.97,5.97,37663,0.0,1.0
44,2018-11-28,6.01,6.04,5.98,6.01,6.01,98505,0.0,1.0
45,2018-11-27,6.01,6.01,5.93,5.95,5.95,183653,0.0,1.0
46,2018-11-26,6.04,6.05,6.0,6.04,6.04,40296,0.0,1.0
47,2018-11-23,5.99,6.06,5.97,5.97,5.97,58069,0.0,1.0
48,2018-11-21,5.98,5.99,5.96,5.9601,5.9601,43258,0.0,1.0
49,2018-11-20,5.98,6.02,5.97,6.02,6.02,97018,0.0,1.0
50,2018-11-19,6.05,6.05,5.96,6.0,6.0,231589,0.0,1.0
